time="2024-04-14T23:11:11+05:00" level=info msg="Connected to MongoDB!"
time="2024-04-14T23:11:11+05:00" level=info msg="Server started at localhost:8080"
time="2024-04-14T23:21:18+05:00" level=info msg="Connected to MongoDB!"
time="2024-04-14T23:21:18+05:00" level=info msg="Server started at localhost:8080"
time="2024-04-14T23:21:48+05:00" level=info msg="New game added" description="ІӘ\"" developer="ІӘ\"І" genre="АЦУ" rating=1 title="АК"
time="2024-04-14T23:28:28+05:00" level=info msg="Connected to MongoDB!"
time="2024-04-14T23:28:28+05:00" level=info msg="Server started at localhost:8080"
time="2024-04-17T14:16:05+05:00" level=info msg="Connected to MongoDB!"
time="2024-04-17T14:16:05+05:00" level=info msg="Server started at localhost:8080"
time="2024-04-17T15:03:14+05:00" level=info msg="Connected to MongoDB!"
time="2024-04-17T15:03:14+05:00" level=info msg="Server started at localhost:8080"
time="2024-04-17T15:03:37+05:00" level=info msg="Connected to MongoDB!"
time="2024-04-17T15:03:37+05:00" level=info msg="Server started at localhost:8080"
time="2024-04-17T15:07:17+05:00" level=info msg="New game added" description="иенекпакотлвдыьжфбэ" developer=Valve genre=Shooter rating=10 title="Аиту"
time="2024-04-17T15:23:15+05:00" level=info msg="Connected to MongoDB!"
time="2024-04-17T15:23:15+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T12:13:37+05:00" level=info msg="Connected to MongoDB!"
time="2024-05-14T12:13:37+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T12:45:14+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T12:46:28+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T12:48:25+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T14:06:23+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T14:09:41+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T14:10:10+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T14:12:12+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T14:26:23+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T14:28:27+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T14:46:54+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T14:50:56+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T14:57:01+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T15:13:35+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T15:26:31+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T16:31:26+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T16:37:41+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-14T16:41:49+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T12:38:14+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T14:11:55+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T14:16:52+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T14:22:52+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T14:26:48+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T14:40:51+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T14:44:40+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T14:49:39+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T14:57:41+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T14:59:49+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T15:09:34+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T15:09:49+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T15:11:33+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T15:11:57+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T15:25:15+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T15:27:20+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T15:30:53+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T15:31:23+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T15:48:31+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T20:51:17+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T20:56:24+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T21:09:16+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T21:17:22+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T21:24:00+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T21:30:00+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T21:30:55+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T21:50:08+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T21:51:44+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T21:52:05+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T22:01:04+05:00" level=info msg="Server started at localhost:8080"
time="2024-05-15T22:02:44+05:00" level=info msg="Server started at localhost:8080"
